model,epoch,train_loss,val_loss,valid_date_rate,day_pass_rate,month_pass_rate,leap_pass_rate,decade_pass_rate,full_pass_rate
cgan,1,-1.887071,0.077402,0.8225,0.1156,0.1684,0.4773,0.0374,0.0007
cgan,2,-3.538781,-0.103184,0.8573,0.1226,0.7556,0.5393,0.121,0.0086
cgan,3,-5.06151,-0.072887,0.8695,0.1265,0.7955,0.5952,0.3779,0.0327
cgan,4,-6.616759,-0.047435,0.8818,0.1278,0.7922,0.6353,0.5575,0.0516
cgan,5,-8.144268,-0.029703,0.8768,0.1261,0.784,0.6512,0.692,0.064
cgan,6,-9.531798,-0.020244,0.9133,0.1312,0.8264,0.6791,0.7863,0.0757
cgan,7,-10.72662,-0.015972,0.9188,0.1327,0.8224,0.7495,0.8187,0.0852
cgan,8,-11.792488,-0.013371,0.9276,0.1319,0.8294,0.7408,0.8375,0.0855
cgan,9,-12.979649,-0.012411,0.9469,0.1307,0.829,0.7791,0.8533,0.0834
cgan,10,-14.222926,-0.011828,0.934,0.1361,0.8301,0.7978,0.843,0.0931
cgan,11,-15.521674,-0.011791,0.9526,0.1364,0.8461,0.8107,0.8677,0.0944
cgan,12,-16.985508,-0.011444,0.9456,0.1319,0.8414,0.8405,0.8626,0.0964
cgan,13,-18.632401,-0.011424,0.9582,0.1396,0.8446,0.8628,0.8807,0.1034
cgan,14,-20.608442,-0.012074,0.9555,0.1325,0.8296,0.8943,0.8774,0.0988
cgan,15,-22.831958,-0.012094,0.9206,0.1338,0.8029,0.8486,0.8447,0.0993
cgan,16,-25.053757,-0.012251,0.9491,0.1419,0.8628,0.8664,0.8757,0.1082
cgan,17,-27.262154,-0.011766,0.9549,0.1351,0.857,0.8796,0.8693,0.1017
cgan,18,-29.550009,-0.011671,0.9426,0.1315,0.8512,0.8677,0.8614,0.0986
cgan,19,-31.993011,-0.01238,0.9459,0.1306,0.8484,0.8837,0.8587,0.0988
cgan,20,-34.560362,-0.012466,0.9571,0.1341,0.863,0.8757,0.8822,0.1028
cgan,21,-37.060617,-0.012818,0.9571,0.1376,0.8787,0.8658,0.8763,0.1044
cgan,22,-39.512318,-0.010956,0.957,0.1365,0.8658,0.8892,0.855,0.103
cgan,23,-41.699885,-0.010452,0.9689,0.1376,0.8873,0.9142,0.8824,0.1113
cgan,24,-44.426284,-0.011431,0.9637,0.1383,0.8748,0.8976,0.8508,0.1036
